id;name;address;phone;time_zone;wifi_password;language
1;swimming loudly till;feud tragic colossal;12498;usually imbibe shoulder;snappy drat schnitzel;ENGLISH
2;worried but knavishly;twang;14205;incidentally;reluctantly considering;ENGLISH
3;reduce cooked;who enlightened the;23447;past geez;centre outside assured;ENGLISH
4;down inwardly;hastily wetly;2333;voluntarily victimise;formalise woot;ENGLISH
5;prudent thoughtfully lob;finally bony engineer;3647;until lighthearted;whoa phew;ENGLISH
6;however dolman growing;unless;30791;ew warlock;likewise aside;ENGLISH
7;yowza;rake doubling past;21012;beat aboard;underneath buttress notwithstanding;ENGLISH
8;oof;hm;6342;work cauterize violently;separately delightfully;ENGLISH
9;provided reduction;ah minus wherever;16328;how unfortunate;even pluck;ENGLISH
10;chaperone whereas utilized;triumphantly;3910;deplane well-documented;brutalize of like;ENGLISH
